id,question,answer,topic,difficulty
61,Write a SQL query to find the maximum value of flight_id in the flights table.,SELECT MAX(flight_id) FROM flights,AGGREGATE FUNCTIONS,Easy
62,Write a SQL query to retrieve all records from the books table.,SELECT * FROM books,SELECT,Easy
63,Write a SQL query to calculate the average of city in the customers table.,SELECT AVG(city) FROM customers,AGGREGATE FUNCTIONS,Medium
64,Write a SQL query to select all records from employees where hire_date != 28.,SELECT * FROM employees WHERE hire_date!=28,WHERE,Hard
65,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
66,Write a SQL query to select all records from orders where total_amount = 41.,SELECT * FROM orders WHERE total_amount=41,WHERE,Easy
67,Write a SQL query to select all records from students where age < 48.,SELECT * FROM students WHERE age<48,WHERE,Medium
68,Write a SQL query to select the department and instructor columns from the courses table.,"SELECT department,instructor FROM courses",SELECT,Medium
69,Write a SQL query to find the minimum value of order_id in the orders table.,SELECT MIN(order_id) FROM orders,AGGREGATE FUNCTIONS,Easy
70,Write a SQL query to retrieve all records from customers sorted by last_name in descending order.,SELECT * FROM customers ORDER BY last_name DESC,ORDER BY,Medium
71,Write a SQL query to find the count for each course_id in the courses table.,"SELECT course_id,COUNT(*) FROM courses GROUP BY course_id",GROUP BY,Easy
72,Write a SQL query to retrieve all records from students sorted by grade in ascending order.,SELECT * FROM students ORDER BY grade ASC,ORDER BY,Easy
73,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
74,Write a SQL query to select distinct values of course_name and credits from courses.,"SELECT DISTINCT course_name,credits FROM courses",SELECT,Hard
75,Write a SQL query to retrieve all records from students sorted by age in descending order.,SELECT * FROM students ORDER BY age DESC,ORDER BY,Medium
76,Write a SQL query to select all records from customers where first_name != 12.,SELECT * FROM customers WHERE first_name!=12,WHERE,Hard
77,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
78,Write a SQL query to retrieve all records from books sorted by book_id in ascending order.,SELECT * FROM books ORDER BY book_id ASC,ORDER BY,Easy
79,Write a SQL query to retrieve all records from customers sorted by city in ascending order.,SELECT * FROM customers ORDER BY city ASC,ORDER BY,Easy
80,Write a SQL query to retrieve all records from orders sorted by customer_id in ascending order.,SELECT * FROM orders ORDER BY customer_id ASC,ORDER BY,Easy
81,Write a SQL query to retrieve all records from products sorted by price in descending order.,SELECT * FROM products ORDER BY price DESC,ORDER BY,Medium
82,Write a SQL query to calculate the average of course_name in the courses table.,SELECT AVG(course_name) FROM courses,AGGREGATE FUNCTIONS,Medium
83,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
84,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
85,Write a SQL query to find the minimum value of salary in the employees table.,SELECT MIN(salary) FROM employees,AGGREGATE FUNCTIONS,Easy
86,Write a SQL query to retrieve all records from books sorted by author in descending order.,SELECT * FROM books ORDER BY author DESC,ORDER BY,Medium
87,Write a SQL query to count the number of records in the courses table.,SELECT COUNT(*) FROM courses,AGGREGATE FUNCTIONS,Easy
88,Write a SQL query to find the maximum value of salary in the employees table.,SELECT MAX(salary) FROM employees,AGGREGATE FUNCTIONS,Easy
89,Write a SQL query to count the number of records in the products table.,SELECT COUNT(*) FROM products,AGGREGATE FUNCTIONS,Easy
90,Write a SQL query to find the min for each airline in the flights table.,"SELECT airline,MIN(origin) FROM flights GROUP BY airline",GROUP BY,Medium
91,Write a SQL query to retrieve all records from orders sorted by order_id in ascending order.,SELECT * FROM orders ORDER BY order_id ASC,ORDER BY,Easy
92,Write a SQL query to find the maximum value of destination in the flights table.,SELECT MAX(destination) FROM flights,AGGREGATE FUNCTIONS,Easy
93,Write a SQL query to perform a RIGHT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees RIGHT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
94,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
95,Write a SQL query to retrieve all records from sales sorted by sale_id in descending order.,SELECT * FROM sales ORDER BY sale_id DESC,ORDER BY,Medium
96,Write a SQL query to calculate the total sum of department in the employees table.,SELECT SUM(department) FROM employees,AGGREGATE FUNCTIONS,Medium
97,Write a SQL query to select the instructor and course_name columns from the courses table.,"SELECT instructor,course_name FROM courses",SELECT,Medium
98,Write a SQL query to find the maximum value of budget in the departments table.,SELECT MAX(budget) FROM departments,AGGREGATE FUNCTIONS,Easy
99,Write a SQL query to retrieve all records from customers sorted by first_name in ascending order.,SELECT * FROM customers ORDER BY first_name ASC,ORDER BY,Easy
100,Write a SQL query to select all records from customers where email < 61.,SELECT * FROM customers WHERE email<61,WHERE,Medium
101,Write a SQL query to find the sum for each hire_date in the employees table.,"SELECT hire_date,SUM(department) FROM employees GROUP BY hire_date",GROUP BY,Medium
102,Write a SQL query to retrieve all records from the flights table.,SELECT * FROM flights,SELECT,Easy
103,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
104,Write a SQL query to count the number of records in the employees table.,SELECT COUNT(*) FROM employees,AGGREGATE FUNCTIONS,Easy
105,Write a SQL query to retrieve all records from sales sorted by product_id in descending order.,SELECT * FROM sales ORDER BY product_id DESC,ORDER BY,Medium
106,Write a SQL query to retrieve all records from sales sorted by revenue in descending order.,SELECT * FROM sales ORDER BY revenue DESC,ORDER BY,Medium
107,Write a SQL query to retrieve all records from orders sorted by total_amount in descending order.,SELECT * FROM orders ORDER BY total_amount DESC,ORDER BY,Medium
108,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
109,Write a SQL query to find the min for each product_id in the sales table.,"SELECT product_id,MIN(sale_id) FROM sales GROUP BY product_id",GROUP BY,Medium
110,Write a SQL query to select distinct values of customer_id and city from customers.,"SELECT DISTINCT customer_id,city FROM customers",SELECT,Hard
111,Write a SQL query to retrieve all records from orders sorted by total_amount in descending order.,SELECT * FROM orders ORDER BY total_amount DESC,ORDER BY,Medium
112,Write a SQL query to count the number of records in the products table.,SELECT COUNT(*) FROM products,AGGREGATE FUNCTIONS,Easy
113,Write a SQL query to find the min for each department in the courses table.,"SELECT department,MIN(instructor) FROM courses GROUP BY department",GROUP BY,Medium
114,Write a SQL query to retrieve all records from books sorted by title in ascending order.,SELECT * FROM books ORDER BY title ASC,ORDER BY,Easy
115,Write a SQL query to retrieve all records from employees sorted by salary in ascending order.,SELECT * FROM employees ORDER BY salary ASC,ORDER BY,Easy
116,Write a SQL query to retrieve all records from books sorted by author in ascending order.,SELECT * FROM books ORDER BY author ASC,ORDER BY,Easy
117,Write a SQL query to retrieve all records from books sorted by genre in ascending order.,SELECT * FROM books ORDER BY genre ASC,ORDER BY,Easy
118,Write a SQL query to calculate the average of grade in the students table.,SELECT AVG(grade) FROM students,AGGREGATE FUNCTIONS,Medium
119,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
120,Write a SQL query to retrieve all records from the employees table.,SELECT * FROM employees,SELECT,Easy
121,Write a SQL query to retrieve all records from the orders table.,SELECT * FROM orders,SELECT,Easy
122,Write a SQL query to find the count for each status in the orders table.,"SELECT status,COUNT(*) FROM orders GROUP BY status",GROUP BY,Easy
123,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
124,Write a SQL query to select the manager and budget columns from the departments table.,"SELECT manager,budget FROM departments",SELECT,Medium
125,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
126,Write a SQL query to calculate the total sum of title in the books table.,SELECT SUM(title) FROM books,AGGREGATE FUNCTIONS,Medium
127,Write a SQL query to retrieve all records from products sorted by category in ascending order.,SELECT * FROM products ORDER BY category ASC,ORDER BY,Easy
128,Write a SQL query to select all records from employees where emp_name <= 18.,SELECT * FROM employees WHERE emp_name<=18,WHERE,Hard
129,Write a SQL query to select distinct values of instructor and credits from courses.,"SELECT DISTINCT instructor,credits FROM courses",SELECT,Hard
130,Write a SQL query to select all records from flights where destination != 17.,SELECT * FROM flights WHERE destination!=17,WHERE,Hard
131,Write a SQL query to select the price and flight_id columns from the flights table.,"SELECT price,flight_id FROM flights",SELECT,Medium
132,Write a SQL query to calculate the total sum of city in the customers table.,SELECT SUM(city) FROM customers,AGGREGATE FUNCTIONS,Medium
133,Write a SQL query to find the minimum value of email in the customers table.,SELECT MIN(email) FROM customers,AGGREGATE FUNCTIONS,Easy
134,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
135,Write a SQL query to find the avg for each destination in the flights table.,"SELECT destination,AVG(price) FROM flights GROUP BY destination",GROUP BY,Medium
136,Write a SQL query to find the max for each first_name in the customers table.,"SELECT first_name,MAX(city) FROM customers GROUP BY first_name",GROUP BY,Medium
137,Write a SQL query to retrieve all records from students sorted by course in ascending order.,SELECT * FROM students ORDER BY course ASC,ORDER BY,Easy
138,Write a SQL query to find the avg for each product_id in the products table.,"SELECT product_id,AVG(price) FROM products GROUP BY product_id",GROUP BY,Medium
139,Write a SQL query to retrieve all records from books sorted by genre in descending order.,SELECT * FROM books ORDER BY genre DESC,ORDER BY,Medium
140,Write a SQL query to select all records from books where author >= 77.,SELECT * FROM books WHERE author>=77,WHERE,Hard
141,Write a SQL query to find the sum for each title in the books table.,"SELECT title,SUM(title) FROM books GROUP BY title",GROUP BY,Medium
142,Write a SQL query to find the min for each order_id in the orders table.,"SELECT order_id,MIN(order_id) FROM orders GROUP BY order_id",GROUP BY,Medium
143,Write a SQL query to retrieve all records from books sorted by book_id in descending order.,SELECT * FROM books ORDER BY book_id DESC,ORDER BY,Medium
144,Write a SQL query to retrieve all records from products sorted by stock in ascending order.,SELECT * FROM products ORDER BY stock ASC,ORDER BY,Easy
145,Write a SQL query to retrieve all records from the employees table.,SELECT * FROM employees,SELECT,Easy
146,Write a SQL query to find the avg for each price in the flights table.,"SELECT price,AVG(airline) FROM flights GROUP BY price",GROUP BY,Medium
147,Write a SQL query to retrieve all records from students sorted by student_id in descending order.,SELECT * FROM students ORDER BY student_id DESC,ORDER BY,Medium
148,Write a SQL query to calculate the total sum of department in the courses table.,SELECT SUM(department) FROM courses,AGGREGATE FUNCTIONS,Medium
149,Write a SQL query to retrieve all records from departments sorted by manager in descending order.,SELECT * FROM departments ORDER BY manager DESC,ORDER BY,Medium
150,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
151,Write a SQL query to find the max for each salary in the employees table.,"SELECT salary,MAX(hire_date) FROM employees GROUP BY salary",GROUP BY,Medium
152,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
153,Write a SQL query to retrieve all records from products sorted by product_name in ascending order.,SELECT * FROM products ORDER BY product_name ASC,ORDER BY,Easy
154,Write a SQL query to perform a RIGHT JOIN between sales and products on the product_id column.,SELECT * FROM sales RIGHT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
155,Write a SQL query to find the max for each quantity in the sales table.,"SELECT quantity,MAX(sale_id) FROM sales GROUP BY quantity",GROUP BY,Medium
156,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
157,Write a SQL query to retrieve all records from the products table.,SELECT * FROM products,SELECT,Easy
158,Write a SQL query to select all records from flights where destination != 38.,SELECT * FROM flights WHERE destination!=38,WHERE,Hard
159,Write a SQL query to select all records from sales where quantity <= 91.,SELECT * FROM sales WHERE quantity<=91,WHERE,Hard
160,Write a SQL query to find the min for each first_name in the customers table.,"SELECT first_name,MIN(email) FROM customers GROUP BY first_name",GROUP BY,Medium
161,Write a SQL query to select all records from flights where origin < 40.,SELECT * FROM flights WHERE origin<40,WHERE,Medium
162,Write a SQL query to perform a RIGHT JOIN between students and courses on the course_id column.,SELECT * FROM students RIGHT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
163,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
164,Write a SQL query to find the minimum value of dept_name in the departments table.,SELECT MIN(dept_name) FROM departments,AGGREGATE FUNCTIONS,Easy
165,Write a SQL query to retrieve all records from customers sorted by email in ascending order.,SELECT * FROM customers ORDER BY email ASC,ORDER BY,Easy
166,Write a SQL query to select all records from sales where quantity < 76.,SELECT * FROM sales WHERE quantity<76,WHERE,Medium
167,Write a SQL query to retrieve all records from the orders table.,SELECT * FROM orders,SELECT,Easy
168,Write a SQL query to retrieve all records from employees sorted by salary in ascending order.,SELECT * FROM employees ORDER BY salary ASC,ORDER BY,Easy
169,Write a SQL query to retrieve all records from the books table.,SELECT * FROM books,SELECT,Easy
170,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
171,Write a SQL query to calculate the total sum of product_name in the products table.,SELECT SUM(product_name) FROM products,AGGREGATE FUNCTIONS,Medium
172,Write a SQL query to retrieve all records from books sorted by publish_year in ascending order.,SELECT * FROM books ORDER BY publish_year ASC,ORDER BY,Easy
173,Write a SQL query to retrieve all records from books sorted by author in ascending order.,SELECT * FROM books ORDER BY author ASC,ORDER BY,Easy
174,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
175,Write a SQL query to retrieve all records from the products table.,SELECT * FROM products,SELECT,Easy
176,Write a SQL query to select all records from students where age > 57.,SELECT * FROM students WHERE age>57,WHERE,Medium
177,Write a SQL query to retrieve all records from flights sorted by flight_id in descending order.,SELECT * FROM flights ORDER BY flight_id DESC,ORDER BY,Medium
178,Write a SQL query to count the number of records in the orders table.,SELECT COUNT(*) FROM orders,AGGREGATE FUNCTIONS,Easy
179,Write a SQL query to find the sum for each flight_id in the flights table.,"SELECT flight_id,SUM(airline) FROM flights GROUP BY flight_id",GROUP BY,Medium
180,Write a SQL query to select the city and last_name columns from the customers table.,"SELECT city,last_name FROM customers",SELECT,Medium
181,Write a SQL query to find the maximum value of customer_id in the customers table.,SELECT MAX(customer_id) FROM customers,AGGREGATE FUNCTIONS,Easy
182,Write a SQL query to find the min for each status in the orders table.,"SELECT status,MIN(status) FROM orders GROUP BY status",GROUP BY,Medium
183,Write a SQL query to calculate the total sum of price in the flights table.,SELECT SUM(price) FROM flights,AGGREGATE FUNCTIONS,Medium
184,Write a SQL query to select the product_id and category columns from the products table.,"SELECT product_id,category FROM products",SELECT,Medium
185,Write a SQL query to select all records from products where product_name >= 69.,SELECT * FROM products WHERE product_name>=69,WHERE,Hard
186,Write a SQL query to find the min for each price in the products table.,"SELECT price,MIN(product_id) FROM products GROUP BY price",GROUP BY,Medium
187,Write a SQL query to select all records from flights where flight_id = 27.,SELECT * FROM flights WHERE flight_id=27,WHERE,Easy
188,Write a SQL query to select all records from flights where airline = 90.,SELECT * FROM flights WHERE airline=90,WHERE,Easy
189,Write a SQL query to select distinct values of genre and book_id from books.,"SELECT DISTINCT genre,book_id FROM books",SELECT,Hard
190,Write a SQL query to count the number of records in the orders table.,SELECT COUNT(*) FROM orders,AGGREGATE FUNCTIONS,Easy
191,Write a SQL query to find the min for each total_amount in the orders table.,"SELECT total_amount,MIN(status) FROM orders GROUP BY total_amount",GROUP BY,Medium
192,Write a SQL query to select distinct values of first_name and last_name from customers.,"SELECT DISTINCT first_name,last_name FROM customers",SELECT,Hard
193,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
194,Write a SQL query to retrieve all records from the flights table.,SELECT * FROM flights,SELECT,Easy
195,Write a SQL query to find the max for each salary in the employees table.,"SELECT salary,MAX(emp_name) FROM employees GROUP BY salary",GROUP BY,Medium
196,Write a SQL query to select the airline and price columns from the flights table.,"SELECT airline,price FROM flights",SELECT,Medium
197,Write a SQL query to select distinct values of email and last_name from customers.,"SELECT DISTINCT email,last_name FROM customers",SELECT,Hard
198,Write a SQL query to select all records from books where publish_year < 55.,SELECT * FROM books WHERE publish_year<55,WHERE,Medium
199,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
200,Write a SQL query to perform a RIGHT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders RIGHT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
201,Write a SQL query to find the sum for each quantity in the sales table.,"SELECT quantity,SUM(sale_date) FROM sales GROUP BY quantity",GROUP BY,Medium
202,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
203,Write a SQL query to select the sale_date and quantity columns from the sales table.,"SELECT sale_date,quantity FROM sales",SELECT,Medium
204,Write a SQL query to count the number of records in the products table.,SELECT COUNT(*) FROM products,AGGREGATE FUNCTIONS,Easy
205,Write a SQL query to calculate the average of publish_year in the books table.,SELECT AVG(publish_year) FROM books,AGGREGATE FUNCTIONS,Medium
206,Write a SQL query to find the minimum value of manager in the departments table.,SELECT MIN(manager) FROM departments,AGGREGATE FUNCTIONS,Easy
207,Write a SQL query to select the email and city columns from the customers table.,"SELECT email,city FROM customers",SELECT,Medium
208,Write a SQL query to find the minimum value of department in the employees table.,SELECT MIN(department) FROM employees,AGGREGATE FUNCTIONS,Easy
209,Write a SQL query to count the number of records in the customers table.,SELECT COUNT(*) FROM customers,AGGREGATE FUNCTIONS,Easy
210,Write a SQL query to select the quantity and revenue columns from the sales table.,"SELECT quantity,revenue FROM sales",SELECT,Medium
211,Write a SQL query to retrieve all records from books sorted by author in ascending order.,SELECT * FROM books ORDER BY author ASC,ORDER BY,Easy
212,Write a SQL query to find the sum for each status in the orders table.,"SELECT status,SUM(status) FROM orders GROUP BY status",GROUP BY,Medium
213,Write a SQL query to select distinct values of hire_date and emp_id from employees.,"SELECT DISTINCT hire_date,emp_id FROM employees",SELECT,Hard
214,Write a SQL query to retrieve all records from products sorted by product_id in descending order.,SELECT * FROM products ORDER BY product_id DESC,ORDER BY,Medium
215,Write a SQL query to select distinct values of sale_id and product_id from sales.,"SELECT DISTINCT sale_id,product_id FROM sales",SELECT,Hard
216,Write a SQL query to select all records from books where author = 98.,SELECT * FROM books WHERE author=98,WHERE,Easy
217,Write a SQL query to select all records from products where price = 2.,SELECT * FROM products WHERE price=2,WHERE,Easy
218,Write a SQL query to retrieve all records from the orders table.,SELECT * FROM orders,SELECT,Easy
219,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
220,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
221,Write a SQL query to perform a LEFT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders LEFT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
222,Write a SQL query to select the origin and price columns from the flights table.,"SELECT origin,price FROM flights",SELECT,Medium
223,Write a SQL query to find the max for each stock in the products table.,"SELECT stock,MAX(product_name) FROM products GROUP BY stock",GROUP BY,Medium
224,Write a SQL query to find the sum for each instructor in the courses table.,"SELECT instructor,SUM(department) FROM courses GROUP BY instructor",GROUP BY,Medium
